sample_id,category,bvid,aid,page_url,canonical_bv_url,part_index,title,content_origin_platform,source_duration_seconds,pretrim_start_seconds,pretrim_end_seconds,pretrim_requested_duration_seconds,pretrim_effective_end_from_reported_duration_seconds,pretrim_effective_duration_from_reported_duration_seconds,num_tasks
AA0024,多人PK,BV18ToqBaEmJ,116472365976128,https://www.bilibili.com/video/av116472365976128,https://www.bilibili.com/video/BV18ToqBaEmJ,1,P617 2026.4.26 晚上场【00:00-01:01】三斤.（9237）,douyin,3637,360,1500,1140,1500,1140,3
AA0025,多人PK,BV19UoEBDEcD,116460370266632,https://www.bilibili.com/video/av116460370266632,https://www.bilibili.com/video/BV19UoEBDEcD,1,4.24直播 元软三来 VS 朱阳饶澈（下）榜30 首翻三人上百万 元元火箭溢出 澈清8.4W惊呆众人,douyin,1366,120,1080,960,1080,960,4
AA0026,多人PK,BV19rd7BCEcX,116421531079862,https://www.bilibili.com/video/av116421531079862,https://www.bilibili.com/video/BV19rd7BCEcX,1,三斤.（9237）26.4.17直播录屏（晚2）,douyin,6570,3600,5400,1800,5400,1800,3
AA0027,多人PK,BV1AN4y1A78B,901262736,https://www.bilibili.com/video/av901262736,https://www.bilibili.com/video/BV1AN4y1A78B,1,直播pk,douyin,107,0,107,107,107,107,3
AA0028,多人PK,BV1AadvByEuF,116417185842821,https://www.bilibili.com/video/av116417185842821,https://www.bilibili.com/video/BV1AadvByEuF,1,超长PK局！04.16#开心元元#三斤9237#小软日记#T.徐来#迅猛龙特蕾莎#T.萨满#王不染#孙恩盛,douyin,3223,1800,3600,1800,3223,1423,3
AA0029,多人PK,BV1Am4y1m7jn,697325131,https://www.bilibili.com/video/av697325131,https://www.bilibili.com/video/BV1Am4y1m7jn,1,肘姐四人PK（过程）鱼干一直打断肘姐施法哈哈哈,douyin,980,360,720,360,720,360,3
AA0030,多人PK,BV1Av4y1r7jb,566127667,https://www.bilibili.com/video/av566127667,https://www.bilibili.com/video/BV1Av4y1r7jb,1,肘姐四人PK（上）过程局,douyin,299,0,299,299,299,299,3
AA0031,多人PK,BV1B6dWBBEef,116426530619556,https://www.bilibili.com/video/av116426530619556,https://www.bilibili.com/video/BV1B6dWBBEef,1,4.18直播 三哥皮师二打六  自问自答的元元 全程侧脸直播  三哥后程发力赢得胜利,douyin,1323,240,1020,780,1020,780,3
AA0032,多人PK,BV1BdoBBmEV7,116473590710524,https://www.bilibili.com/video/av116473590710524,https://www.bilibili.com/video/BV1BdoBBmEV7,1,外星人zqz#朱庆哲绽放季地区总决赛直播录屏4-26（晚P2）,douyin,6802,2400,5100,2700,5100,2700,4
AA0033,多人PK,BV1BpSkB3EzJ,115642262883264,https://www.bilibili.com/video/av115642262883264,https://www.bilibili.com/video/BV1BpSkB3EzJ,1,宗门土豆局！百利田和褐色 DL.逃 T.水云汐三个土豆的连线和pk,douyin,1076,360,900,540,900,540,3
AA0034,多人PK,BV1CGfeBEESi,116134271518208,https://www.bilibili.com/video/av116134271518208,https://www.bilibili.com/video/BV1CGfeBEESi,1,［直播录屏］2.25花小雕&斯通直播连麦+pk,douyin,9665,360,3060,2700,3060,2700,1
AA0035,多人PK,BV1Cs4y1K7Y6,953968068,https://www.bilibili.com/video/av953968068,https://www.bilibili.com/video/BV1Cs4y1K7Y6,1,【20230520】多人局出现开通四超帝罕见场面 完整版,douyin,2491,600,1800,1200,1800,1200,3
AA0036,多人PK,BV1D91ZBhEs6,115500881348912,https://www.bilibili.com/video/av115500881348912,https://www.bilibili.com/video/BV1D91ZBhEs6,1,以为会输但最后秒榜的雷公电母局，开心元元和小软日记的闺蜜组合不败战绩延续，这局的血条来回拉锯的真刺激，最后一刻800万秒榜,douyin,1615,720,1615,895,1615,895,3
AA0037,多人PK,BV1DK4y1o7uR,930249376,https://www.bilibili.com/video/av930249376,https://www.bilibili.com/video/BV1DK4y1o7uR,1,ljj和呜呜两人最好笑的两场直播pk（我宣布这两场pk封神）直接笑吐,douyin,3838,420,2160,1740,2160,1740,3
AA0038,多人PK,BV1Dkw3zgEbC,116233827520061,https://www.bilibili.com/video/av116233827520061,https://www.bilibili.com/video/BV1Dkw3zgEbC,1,3.15直播  八人组队总榜 四人上百万 小软后程发力 元：来自闺蜜的安全感  高迪贴脸开大,douyin,1570,120,1140,1020,1140,1020,3
AA0039,多人PK,BV1DsowBAE35,116432419425075,https://www.bilibili.com/video/av116432419425075,https://www.bilibili.com/video/BV1DsowBAE35,1,4.19直播 首次连线陈伯 四人全上百万 边PK边跳舞 美美涨粉 又吃上医药费啦,douyin,1095,420,960,540,960,540,2
AA0040,多人PK,BV1DyffBYExN,116012938692472,https://www.bilibili.com/video/av116012938692472,https://www.bilibili.com/video/BV1DyffBYExN,1,2.4直播  九宫格四打五总榜 恩盛发力守塔 有惊无险拿下 大王手机过热提前离局,douyin,1442,540,1080,540,1080,540,3
AA0041,多人PK,BV1E3ofBuEgz,116469547402289,https://www.bilibili.com/video/av116469547402289,https://www.bilibili.com/video/BV1E3ofBuEgz,1,260425PK局 (5),douyin,3005,180,2880,2700,2880,2700,3
AA0042,多人PK,BV1E5oBB2Ed9,116474043767707,https://www.bilibili.com/video/av116474043767707,https://www.bilibili.com/video/BV1E5oBB2Ed9,1,4.27 陈十仝直播,douyin,4710,960,2700,1740,2700,1740,3
AA0043,多人PK,BV1EGofBBEJY,116469463521413,https://www.bilibili.com/video/av116469463521413,https://www.bilibili.com/video/BV1EGofBBEJY,1,爱睡大觉#惩罚局#抖音部分录屏,douyin,223,0,223,223,223,223,3
AA0044,多人PK,BV1EKdDB2E84,116443928595175,https://www.bilibili.com/video/av116443928595175,https://www.bilibili.com/video/BV1EKdDB2E84,1,2026.4.20 听潮阁T.阴天 晚个播(1),douyin,4063,1500,3300,1800,3300,1800,3
AA0045,多人PK,BV1EYpceSEX1,113079878746553,https://www.bilibili.com/video/av113079878746553,https://www.bilibili.com/video/BV1EYpceSEX1,1,【尹妹】【野洵】大PK主播，尹妹开局破百万，华子满天飞，250w+精彩守塔局,douyin,1429,420,1320,900,1320,900,3
AA0046,多人PK,BV1Ep42197Rh,1852881427,https://www.bilibili.com/video/av1852881427,https://www.bilibili.com/video/BV1Ep42197Rh,1,梵谷随机PK路人  双方互相battle舞技 展示良心 特别搞笑 4.9,douyin,308,0,308,308,308,308,2
AA0047,多人PK,BV1ExwFzpEvD,116210893065014,https://www.bilibili.com/video/av116210893065014,https://www.bilibili.com/video/BV1ExwFzpEvD,1,抖是可以的，一个活动就能看出头部的恐怖，一打八还赢了，全是百万分，有钱人啊,douyin,205,0,205,205,205,205,3
AA0048,多人PK,BV1FDvWeSE2m,112881353885835,https://www.bilibili.com/video/av112881353885835,https://www.bilibili.com/video/BV1FDvWeSE2m,1,全网最赚钱皮套人，PK秒杀抖音一姐！,douyin,98,0,98,98,98,98,2
AA0049,多人PK,BV1FP411m74p,313166513,https://www.bilibili.com/video/av313166513,https://www.bilibili.com/video/BV1FP411m74p,1,【音书】2023.04.28直播切条 - 和白老师PK连麦，大冒险惩罚（高能 爆笑）,douyin,2019,180,1800,1620,1800,1620,3
AA0050,多人PK,BV1Fu7azEEBF,114619037258425,https://www.bilibili.com/video/av114619037258425,https://www.bilibili.com/video/BV1Fu7azEEBF,1,sk五月公会赛神豪之战（具体数字版）,douyin,471,0,471,471,471,471,2
AA0051,多人PK,BV1GEyiYkEU8,113341183822656,https://www.bilibili.com/video/av113341183822656,https://www.bilibili.com/video/BV1GEyiYkEU8,1,tiktok直播pk，日本主播打pk,douyin,133,0,133,133,133,133,4
AA0052,多人PK,BV1GUfuYMEmG,114270222157027,https://www.bilibili.com/video/av114270222157027,https://www.bilibili.com/video/BV1GUfuYMEmG,1,【完整版】全明星阵容的加持 各大主播都来帮龙龙上票 含金量持续上升 阳哥拖家带口和大姐们高消费了直接冲至榜一  太燃了太燃了【迅猛龙特蕾莎/迪士尼在逃公主】,douyin,4667,300,3000,2700,3000,2700,4
AA0053,多人PK,BV1GqoYBxEgV,116453458053810,https://www.bilibili.com/video/av116453458053810,https://www.bilibili.com/video/BV1GqoYBxEgV,1,【章鱼妹】2026.04.22 打完你的打你的 我心里有数,douyin,15978,1200,3900,2700,3900,2700,3
AA0054,多人PK,BV1GuNPzhEqT,116188998798852,https://www.bilibili.com/video/av116188998798852,https://www.bilibili.com/video/BV1GuNPzhEqT,1,3.7阿金小马直播连麦录屏 PK一把文化局 惩罚连带了幽默小艾,douyin,639,0,639,639,639,639,3
AA0055,多人PK,BV1Gzw3zVEnq,116233659813631,https://www.bilibili.com/video/av116233659813631,https://www.bilibili.com/video/BV1Gzw3zVEnq,1,75级神豪VS姐姐回应速配直播间节奏(1),douyin,1097,120,720,600,720,600,4
AA0056,多人PK,BV1H3411K7VW,426061894,https://www.bilibili.com/video/av426061894,https://www.bilibili.com/video/BV1H3411K7VW,1,两零的PK内卷现场，全程欢乐且高能！,douyin,413,0,413,413,413,413,3
AA0057,多人PK,BV1HRobBtETN,116451528743692,https://www.bilibili.com/video/av116451528743692,https://www.bilibili.com/video/BV1HRobBtETN,1,总榜，两个大神一起秒了,douyin,380,0,380,380,380,380,3
AA0058,多人PK,BV1HT421S7pu,1704937042,https://www.bilibili.com/video/av1704937042,https://www.bilibili.com/video/BV1HT421S7pu,1,【5.21满堆连麦pk守塔】连了好多个老师不一一写了。,douyin,5310,3600,5310,1710,5310,1710,3
AA0059,多人PK,BV1Hj411v7M1,449869211,https://www.bilibili.com/video/av449869211,https://www.bilibili.com/video/BV1Hj411v7M1,1,【直播录屏】小沈点心,douyin,1327,300,1020,720,1020,720,3
AA0060,多人PK,BV1Hjo9BhEMu,116466326308582,https://www.bilibili.com/video/av116466326308582,https://www.bilibili.com/video/BV1Hjo9BhEMu,1,余泽20260425晚PK直播  8人局惨败 323温馨暖心聊天趴,douyin,12423,9723,12423,2700,12423,2700,4
AA0061,多人PK,BV1JDoLBXEyf,116460168937616,https://www.bilibili.com/video/av116460168937616,https://www.bilibili.com/video/BV1JDoLBXEyf,1,4.24直播  六人组队总榜  心心背配队成功 小凳子直播的大王 元宝：雷霆坐姿,douyin,1357,360,900,540,900,540,3
AA0062,多人PK,BV1JLQ8BLEFq,116398713996515,https://www.bilibili.com/video/av116398713996515,https://www.bilibili.com/video/BV1JLQ8BLEFq,1,逗死我了这几人  嘴皮子这块 大网红闯入拉圈高端局了【小太阳n/忻是/小胡说/玲爷/孙恩盛/爱睡大觉/亦十二/虚虚小心/小狼卷卷】,douyin,3675,360,2400,2040,2400,2040,4
AA0063,多人PK,BV1JTooBPEqE,116468758877517,https://www.bilibili.com/video/av116468758877517,https://www.bilibili.com/video/BV1JTooBPEqE,1,一加一 26.4.25 pk集锦,douyin,4062,720,2400,1680,2400,1680,3
AA0064,多人PK,BV1JboqB7E7g,116472063986787,https://www.bilibili.com/video/av116472063986787,https://www.bilibili.com/video/BV1JboqB7E7g,1,-26-04-26-“想想辦法4｛醒不過來的飛升”收官之戰,douyin,5474,600,3000,2400,3000,2400,3
AA0065,多人PK,BV1JioTBcEqH,116454582126138,https://www.bilibili.com/video/av116454582126138,https://www.bilibili.com/video/BV1JioTBcEqH,1,4.23直播  元来亦情 四人IP（下）复仇  四人各展才艺 元元一打三 喜提三惩罚 屁股写开心元元笑翻全场,douyin,1565,120,2100,1980,1565,1445,3
AA0066,多人PK,BV1KAobBPEnK,116449750417965,https://www.bilibili.com/video/av116449750417965,https://www.bilibili.com/video/BV1KAobBPEnK,1,拉拉单挑所有接力赛笑死我了 些许狼狈了这帮gay  哈哈哈哈哈【小太阳n/章鱼妹/玲爷/小胡说/D刘大雄/胖胖燃/华华华/钊钊】,douyin,1445,180,1320,1140,1320,1140,3
AA0067,多人PK,BV1KT41117Qv,480993605,https://www.bilibili.com/video/av480993605,https://www.bilibili.com/video/BV1KT41117Qv,1,光局第一次打pk,douyin,979,120,660,540,660,540,4
AA0068,多人PK,BV1KcoBBxEcQ,116473926259783,https://www.bilibili.com/video/av116473926259783,https://www.bilibili.com/video/BV1KcoBBxEcQ,1,2026.4.26♥《呜呜姐直播录屏》,douyin,8707,1200,3900,2700,3900,2700,3
AA0069,多人PK,BV1L8XKBrEfm,116300684727967,https://www.bilibili.com/video/av116300684727967,https://www.bilibili.com/video/BV1L8XKBrEfm,1,三斤总榜哥夫来的太及时了一个字“秒”,douyin,597,0,597,597,597,597,3
AA0070,多人PK,BV1LKorBSEhx,116474312269306,https://www.bilibili.com/video/av116474312269306,https://www.bilibili.com/video/BV1LKorBSEhx,1,2026-04-26上,douyin,20922,3600,6300,2700,6300,2700,4
AA0071,多人PK,BV1LLofBiEno,116469497072888,https://www.bilibili.com/video/av116469497072888,https://www.bilibili.com/video/BV1LLofBiEno,1,260425PK局 (1),douyin,2872,1500,2100,600,2100,600,3
AA0072,多人PK,BV1M1x5zuEA2,115326180134136,https://www.bilibili.com/video/av115326180134136,https://www.bilibili.com/video/BV1M1x5zuEA2,1,小澈也是遇到对手了 十年内无人能理解这场pk,douyin,890,0,890,890,890,890,3
AA0073,多人PK,BV1M5XvBLEZU,116318720296300,https://www.bilibili.com/video/av116318720296300,https://www.bilibili.com/video/BV1M5XvBLEZU,1,【京师宇宙】5678vs控&斤宝20260330PK |总榜榜100千纸鹤助力人数等5局|耿姐百万粉活动|虽败犹荣|“四狼”勇于挑战,douyin,4744,0,2700,2700,2700,2700,3
AA0074,多人PK,BV1MW421c7u9,1851591757,https://www.bilibili.com/video/av1851591757,https://www.bilibili.com/video/BV1MW421c7u9,1,甜姐带Vv出门打PK主播 公主的嘴真让人放心啊 对面小哥哥只能生气气！姐姐们守塔太帅啦！全是嘉年华啊！,douyin,1278,120,1020,900,1020,900,1
AA0075,多人PK,BV1NH4y1L7tJ,1051674934,https://www.bilibili.com/video/av1051674934,https://www.bilibili.com/video/BV1NH4y1L7tJ,1,PK结束前的拉票：偷塔守塔的状态,douyin,130,0,130,130,130,130,4
AA0076,多人PK,BV1NHojBYEtk,116459833592656,https://www.bilibili.com/video/av116459833592656,https://www.bilibili.com/video/BV1NHojBYEtk,1,20260424      【小风】个播录屏   内容:聊天/唱歌/多人pk/唱歌      ps:录屏时候有点忙，没注意到卡了一段,douyin,13795,0,1800,1800,1800,1800,2
AA0077,多人PK,BV1NP4y1E7rL,892876184,https://www.bilibili.com/video/av892876184,https://www.bilibili.com/video/BV1NP4y1E7rL,1,【大哥远】这场pk绝对是爆笑如雷,douyin,160,0,160,160,160,160,3
AA0078,多人PK,BV1NrAFzKERq,116265066694097,https://www.bilibili.com/video/av116265066694097,https://www.bilibili.com/video/BV1NrAFzKERq,1,世纪大战｜小软视角：神豪大哥,douyin,3185,1320,2340,1020,2340,1020,3
AA0079,多人PK,BV1P4vmeWELc,112877260244020,https://www.bilibili.com/video/av112877260244020,https://www.bilibili.com/video/BV1P4vmeWELc,1,零皇903个嘉年华助萱萱拿下五连冠,douyin,274,0,274,274,274,274,4
AA0080,多人PK,BV1PqdDBxEjt,116443593049288,https://www.bilibili.com/video/av116443593049288,https://www.bilibili.com/video/BV1PqdDBxEjt,1,4.21直播 元龙姜 VS 控盛铭（五）榜50  2.8W分 百强第二 亏欠！哥姐们辛苦了！,douyin,1035,120,960,840,960,840,2
AA0081,多人PK,BV1Q9dyBJEbK,116438761215397,https://www.bilibili.com/video/av116438761215397,https://www.bilibili.com/video/BV1Q9dyBJEbK,1,4月20日小鱼个播（直播录屏由“圆滚滚”提供）,douyin,4957,1800,4500,2700,4500,2700,4
AA0082,多人PK,BV1QF411g7vf,298269534,https://www.bilibili.com/video/av298269534,https://www.bilibili.com/video/BV1QF411g7vf,1,正经直播，正常pk,douyin,108,0,108,108,108,108,3
AA0083,多人PK,BV1RDoXB7ECJ,116466611394360,https://www.bilibili.com/video/av116466611394360,https://www.bilibili.com/video/BV1RDoXB7ECJ,1,三斤.（9237）26.4.25直播录屏（晚2）,douyin,4668,0,1200,1200,1200,1200,3
AA0084,多人PK,BV1RM4y1W7ja,913624432,https://www.bilibili.com/video/av913624432,https://www.bilibili.com/video/BV1RM4y1W7ja,1,老白不喝酒和倪海杉打世纪PK！抖音神豪青姐降临直播间直接上100万票？,douyin,1063,60,1020,960,1020,960,3
AA0085,多人PK,BV1RQonB4EFo,116446143184960,https://www.bilibili.com/video/av116446143184960,https://www.bilibili.com/video/BV1RQonB4EFo,1,【4/4】连环PK局! 04.21#开心元元#T.姜添#控#Xy.李傲铭#孙恩盛#迅猛龙特蕾莎,douyin,2130,900,2100,1200,2100,1200,3
AA0086,多人PK,BV1RbZ2BwEAu,116086976548864,https://www.bilibili.com/video/av116086976548864,https://www.bilibili.com/video/BV1RbZ2BwEAu,1,【施展】&【菠萝咕噜肉】“迷宫”小分队相遇在直播间！施展、菠萝咕噜肉、亦航、黄羽轩四人PK连麦直播录屏cut,douyin,700,0,700,700,700,700,3
AA0087,多人PK,BV1RdopBaEoQ,116446931720079,https://www.bilibili.com/video/av116446931720079,https://www.bilibili.com/video/BV1RdopBaEoQ,1,小澈早期9人PK局ts麦乐鸡做惩罚效果拉满,douyin,249,0,249,249,249,249,3
AA0088,多人PK,BV1RhQFBXE4n,116378917013407,https://www.bilibili.com/video/av116378917013407,https://www.bilibili.com/video/BV1RhQFBXE4n,1,抖音顶美恶霸直播录屏,douyin,1007,240,960,720,960,720,3
AA0089,多人PK,BV1RjoiBiEYE,116472919624581,https://www.bilibili.com/video/av116472919624581,https://www.bilibili.com/video/BV1RjoiBiEYE,1,【金昭昭好野】20260426pk小太阳n，玲爷，忻是，亦十二，陈十仝，九六六mio，小鹅，安祺Angel（转盘局 姐姐姐夫表演才艺给大家看的很开心啊）,douyin,5081,900,3600,2700,3600,2700,4
AA0090,多人PK,BV1Rxo7BmEQg,116461209196457,https://www.bilibili.com/video/av116461209196457,https://www.bilibili.com/video/BV1Rxo7BmEQg,1,2026-4-24 晚4 迪士尼在逃公主直播录屏,douyin,6185,2400,5100,2700,5100,2700,3
AA0091,多人PK,BV1SBoMBmELE,116453827151651,https://www.bilibili.com/video/av116453827151651,https://www.bilibili.com/video/BV1SBoMBmELE,1,2026.4.22 T.阴天 晚个播(1),douyin,5953,360,3060,2700,3060,2700,3
AA0092,多人PK,BV1T5oUB4EfB,116462920401472,https://www.bilibili.com/video/av116462920401472,https://www.bilibili.com/video/BV1T5oUB4EfB,1,陈小佳  孟令辉  何秋事  大大怪  土豆4月24/4月25直播录屏,douyin,8103,2160,4860,2700,4860,2700,3
AA0093,多人PK,BV1THQJBhEj1,116409568854131,https://www.bilibili.com/video/av116409568854131,https://www.bilibili.com/video/BV1THQJBhEj1,1,陈泽变为体力主播了，迪士尼撵泽,douyin,1053,0,780,780,780,780,3
AA0094,多人PK,BV1TJoEBrEzo,116460689033828,https://www.bilibili.com/video/av116460689033828,https://www.bilibili.com/video/BV1TJoEBrEzo,1,P615 2026.4.24 晚上场-日常【22:05-23:59】三斤.（9237）,douyin,6865,360,3060,2700,3060,2700,3
AA0095,多人PK,BV1TKQ3BzE33,116402371430254,https://www.bilibili.com/video/av116402371430254,https://www.bilibili.com/video/BV1TKQ3BzE33,1,迪士尼在逃公主vs陈泽传媒，一挑八胜利,douyin,5014,0,2100,2100,2100,2100,2
AA0096,多人PK,BV1TVH5z4Egp,115311030374381,https://www.bilibili.com/video/av115311030374381,https://www.bilibili.com/video/BV1TVH5z4Egp,1,【张笑盈】第三局PK惩罚,douyin,1674,360,1140,780,1140,780,4
AA0097,多人PK,BV1TtWZzXEqy,115413388102252,https://www.bilibili.com/video/av115413388102252,https://www.bilibili.com/video/BV1TtWZzXEqy,1,251021 梵谷又双叒叕加入易燃易爆炸的女人局PK,douyin,4743,0,2700,2700,2700,2700,3
AA0098,多人PK,BV1TwBfB6EoY,115939404153329,https://www.bilibili.com/video/av115939404153329,https://www.bilibili.com/video/BV1TwBfB6EoY,1,史上最具分量的一场pk！ 5分钟赢了大G拿走！双方都吓出了一身冷汗！过程可谓是十分的激烈！,douyin,932,140,580,440,580,440,2
AA0099,多人PK,BV1TxSuBcE3u,115622499321984,https://www.bilibili.com/video/av115622499321984,https://www.bilibili.com/video/BV1TxSuBcE3u,1,【y.Kis】25.11.27晚个播“药kis”连线第6天单独连线➕才艺局➕多人pk开皮惩罚➕你画我猜,douyin,7797,2700,5400,2700,5400,2700,3
AA0100,多人PK,BV1UCodBSEfy,116466863115274,https://www.bilibili.com/video/av116466863115274,https://www.bilibili.com/video/BV1UCodBSEfy,1,20260426T.不不🔮个播---,douyin,3000,360,2700,2340,2700,2340,3
AA0101,多人PK,BV1UEcGeGEXj,113816364915873,https://www.bilibili.com/video/av113816364915873,https://www.bilibili.com/video/BV1UEcGeGEXj,1,ks、许儿、KB、干干pk展馆局，都太有实力了,douyin,1157,90,720,630,720,630,4
AA0102,多人PK,BV1UG41197hy,405551784,https://www.bilibili.com/video/av405551784,https://www.bilibili.com/video/BV1UG41197hy,1,抖音19线主播小妖精PK师姐过程炸裂！！,douyin,1023,120,720,600,720,600,2
AA0103,多人PK,BV1UtdtBAE6K,116410894261595,https://www.bilibili.com/video/av116410894261595,https://www.bilibili.com/video/BV1UtdtBAE6K,1,总榜哥姐都来了，小斤又幸福了,douyin,615,0,615,615,615,615,3
AA0104,多人PK,BV1V1qtYqEMP,113638123900723,https://www.bilibili.com/video/av113638123900723,https://www.bilibili.com/video/BV1V1qtYqEMP,1,12.12世纪PK,douyin,2137,180,2000,1820,2000,1820,4
